SampleID,BarcodeSequence,LinkerPrimerSequence,Age,Age_weeks,Tissue,Flock,Flock2,AgeTissue,AgeTissueFlock,Weight_g,Bird#,NDV,REO,HEV,BA,MG,MM,MS,Description
cT257,,,Sixteen,16,TW,RD3 ,RD3-DR,SixteenTW,SixteenTW_RD3,14200,105,0,673,12586,0,Negative,Negative,Negative,T257
cT258,,,Sixteen,16,TW,RD3 ,RD3-DR,SixteenTW,SixteenTW_RD3,13600,106,0,3326,16106,0,Negative,Negative,Negative,T258
cT259,,,Sixteen,16,TW,RD3 ,RD3-DR,SixteenTW,SixteenTW_RD3,13400,107,0,203,10317,0,Negative,Negative,Negative,T259
cT260,,,Sixteen,16,TW,RD3 ,RD3-DR,SixteenTW,SixteenTW_RD3,13600,108,0,999,16303,0,Negative,Negative,Negative,T260
cT261,,,One,1,TW,RD2 ,RD2 ,OneTW,OneTW_RD2,152,14,4198,964,2476,4574,Negative,Negative,Negative,T261
cT262,,,One,1,TW,RD2 ,RD2 ,OneTW,OneTW_RD2,153,15,8310,418,1086,6400,Negative,Negative,Negative,T262
cT263,,,One,1,TW,RD2 ,RD2 ,OneTW,OneTW_RD2,152,16,2686,246,1966,0,Negative,Inconclusive,Inconclusive,T263
cT264,,,One,1,TW,RD2 ,RD2 ,OneTW,OneTW_RD2,189,17,5675,594,4002,0,Negative,Negative,Negative,T264
cT265,,,One,1,TW,RD2 ,RD2 ,OneTW,OneTW_RD2,152,18,4435,630,3008,3073,Negative,Negative,Negative,T265
cT266,,,One,1,TW,RD2 ,RD2 ,OneTW,OneTW_RD2,124,19,4167,401,1676,0,Negative,Negative,Negative,T266
cT267,,,One,1,TW,RD2 ,RD2 ,OneTW,OneTW_RD2,138,20,2673,559,3888,6687,Negative,Negative,Negative,T267
cT268,,,One,1,TW,RD2 ,RD2 ,OneTW,OneTW_RD2,119,21,0,814,3518,8559,Negative,Negative,Negative,T268
cT269,,,One,1,TW,RD2 ,RD2 ,OneTW,OneTW_RD2,110,22,5423,418,2210,8114,Negative,Negative,Negative,T269
cT270,,,One,1,TW,RD2 ,RD2 ,OneTW,OneTW_RD2,139,23,5442,1133,5431,6700,Negative,Negative,Negative,T270
cT271,,,Three,3,TW,RD2 ,RD2 ,ThreeTW,ThreeTW_RD2,802,25,0,148,0,0,Negative,Negative,Negative,T271
cT272,,,Three,3,TW,RD2 ,RD2 ,ThreeTW,ThreeTW_RD2,789,26,0,229,1563,0,Negative,Negative,Negative,T272
cT273,,,Three,3,TW,RD2 ,RD2 ,ThreeTW,ThreeTW_RD2,526,27,2394,54,0,0,Negative,Negative,Negative,T273
cT274,,,Three,3,TW,RD2 ,RD2 ,ThreeTW,ThreeTW_RD2,792,28,0,246,421,366,Negative,Negative,Negative,T274
cT275,,,Three,3,TW,RD2 ,RD2 ,ThreeTW,ThreeTW_RD2,614,29,0,347,232,443,Negative,Negative,Negative,T275
cT276,,,Three,3,TW,RD2 ,RD2 ,ThreeTW,ThreeTW_RD2,689,30,0,523,1182,887,Negative,Negative,Negative,T276
cT277,,,Three,3,TW,RD2 ,RD2 ,ThreeTW,ThreeTW_RD2,457,31,0,296,482,1100,Negative,Negative,Negative,T277
cT278,,,Three,3,TW,RD2 ,RD2 ,ThreeTW,ThreeTW_RD2,763,32,0,279,171,0,Negative,Negative,Negative,T278
cT279,,,Three,3,TW,RD2 ,RD2 ,ThreeTW,ThreeTW_RD2,777,33,0,116,457,312,Negative,Negative,Negative,T279
cT280,,,Three,3,TW,RD2 ,RD2 ,ThreeTW,ThreeTW_RD2,749,34,0,246,0,0,Negative,Negative,Negative,T280
cT281,,,Five,5,TW,RD2 ,RD2 ,FiveTW,FiveTW_RD2,1281,45,0,116,171,0,Negative,Negative,Negative,T281
cT282,,,Five,5,TW,RD2 ,RD2 ,FiveTW,FiveTW_RD2,1642,46,0,164,238,0,Negative,Negative,Negative,T282
cT283,,,Five,5,TW,RD2 ,RD2 ,FiveTW,FiveTW_RD2,1745,47,0,668,840,0,Negative,Negative,Negative,T283
cT284,,,Five,5,TW,RD2 ,RD2 ,FiveTW,FiveTW_RD2,1680,48,0,435,0,0,Negative,Negative,Negative,T284
cT285,,,Five,5,TW,RD2 ,RD2 ,FiveTW,FiveTW_RD2,1655,49,0,279,0,0,Negative,Negative,Negative,T285
cT286,,,Five,5,TW,RD2 ,RD2 ,FiveTW,FiveTW_RD2,1442,50,0,347,206,0,Negative,Negative,Negative,T286
cT287,,,Five,5,TW,RD2 ,RD2 ,FiveTW,FiveTW_RD2,1593,51,0,296,486,0,Negative,Negative,Negative,T287
cT288,,,Five,5,TW,RD2 ,RD2 ,FiveTW,FiveTW_RD2,1513,52,0,541,158,0,Negative,Negative,Negative,T288
cT289,,,Five,5,TW,RD2 ,RD2 ,FiveTW,FiveTW_RD2,1418,53,0,1076,853,284,Negative,Negative,Negative,T289
cT290,,,Five,5,TW,RD2 ,RD2 ,FiveTW,FiveTW_RD2,1710,54,0,541,0,4190,Negative,Negative,Negative,T290
cT291,,,Eight,8,TW,RD2 ,RD2-JF,EIghtTW,EIghtTW_RD2,3600,65,0,296,519,576,Negative,Negative,Negative,T291
cT292,,,Eight,8,TW,RD2 ,RD2-JF,EIghtTW,EIghtTW_RD2,3800,66,0,612,708,371,Negative,Negative,Negative,T292
cT293,,,Eight,8,TW,RD2 ,RD2-JF,EIghtTW,EIghtTW_RD2,3400,67,0,364,215,341,Negative,Negative,Negative,T293
cT294,,,Eight,8,TW,RD2 ,RD2-JF,EIghtTW,EIghtTW_RD2,4100,68,0,180,0,0,Negative,Negative,Negative,T294
cT295,,,Eight,8,TW,RD2 ,RD2-JF,EIghtTW,EIghtTW_RD2,3400,69,0,1420,176,0,Negative,Negative,Negative,T295
cT296,,,Eight,8,TW,RD2 ,RD2-JF,EIghtTW,EIghtTW_RD2,3600,70,0,541,226,0,Negative,Negative,Negative,T296
cT297,,,Eight,8,TW,RD2 ,RD2-JF,EIghtTW,EIghtTW_RD2,3400,71,0,347,314,0,Negative,Negative,Negative,T297
cT298,,,Eight,8,TW,RD2 ,RD2-JF,EIghtTW,EIghtTW_RD2,4200,72,0,401,0,0,Negative,Negative,Negative,T298
cT299,,,Eight,8,TW,RD2 ,RD2-JF,EIghtTW,EIghtTW_RD2,3300,73,0,796,639,0,Negative,Negative,Negative,T299
cT300,,,Eight,8,TW,RD2 ,RD2-JF,EIghtTW,EIghtTW_RD2,3300,74,0,1189,2494,0,Negative,Negative,Negative,T300
cT301,,,Twelve,12,TW,RD2 ,RD2-JF,TwelveTW,TwelveTW_RD2,10300,93,0,1234,17792,0,Negative,Negative,Negative,T301
cT302,,,Twelve,12,TW,RD2 ,RD2-JF,TwelveTW,TwelveTW_RD2,10000,94,0,203,8736,0,Negative,Negative,Negative,T302
cT303,,,Twelve,12,TW,RD2 ,RD2-JF,TwelveTW,TwelveTW_RD2,9300,95,0,1473,11288,0,Negative,Negative,Negative,T303
cT304,,,Twelve,12,TW,RD2 ,RD2-JF,TwelveTW,TwelveTW_RD2,10000,96,0,1076,12106,0,Negative,Negative,Negative,T304
cT305,,,Twelve,12,TW,RD2 ,RD2-JF,TwelveTW,TwelveTW_RD2,8500,97,0,711,3598,0,Negative,Negative,Negative,T305
cT306,,,Twelve,12,TW,RD2 ,RD2-JF,TwelveTW,TwelveTW_RD2,9000,98,0,844,9160,0,Negative,Negative,Negative,T306
cT307,,,Twelve,12,TW,RD2 ,RD2-JF,TwelveTW,TwelveTW_RD2,9100,99,0,523,14295,0,Negative,Negative,Negative,T307
cT308,,,Twelve,12,TW,RD2 ,RD2-JF,TwelveTW,TwelveTW_RD2,8300,100,0,1076,14993,0,Negative,Negative,Negative,T308
cT309,,,Sixteen,16,TW,RD2 ,RD2-JF,SixteenTW,SixteenTW_RD2,17400,101,0,1432,13202,0,Negative,Negative,Negative,T309
cT310,,,Sixteen,16,TW,RD2 ,RD2-JF,SixteenTW,SixteenTW_RD2,16600,102,0,6198,14250,0,Negative,Negative,Negative,T310
cT311,,,Sixteen,16,TW,RD2 ,RD2-JF,SixteenTW,SixteenTW_RD2,17600,103,0,273,10499,0,Negative,Negative,Negative,T311
cT312,,,Sixteen,16,TW,RD2 ,RD2-JF,SixteenTW,SixteenTW_RD2,15000,104,0,1234,4381,0,Negative,Negative,Negative,T312
cSW313,,,One,1,SW,RD3,RD3,OneSW,OneSW_RD3,145,Pooled (1-5),7267.8,1036,6176.6,781.6,Negative,Negative,Negative,SW313
cSW314,,,One,1,SW,RD3,RD3,OneSW,OneSW_RD3,141,Pooled (6-9),6130.75,1299,4181.25,69.75,Negative,Negative,Negative,SW314
cSW315,,,Three,3,SW,RD3,RD3,ThreeSW,ThreeSW_RD3,708,Pooled (35 & 36),0,347,265,0,Negative,Negative,Negative,SW315
cSW316,,,Three,3,SW,RD3,RD3,ThreeSW,ThreeSW_RD3,622,Pooled (37-38),0,271.5,319.5,0,Negative,Negative,Negative,SW316
cSW317,,,Three,3,SW,RD3,RD3,ThreeSW,ThreeSW_RD3,734,Pooled (39-40),0,182.5,296,0,Negative,Negative,Negative,SW317
cSW318,,,Three,3,SW,RD3,RD3,ThreeSW,ThreeSW_RD3,594,Pooled (41-42),0,534.5,116,0,Negative,Negative,Negative,SW318
cSW319,,,Three,3,SW,RD3,RD3,ThreeSW,ThreeSW_RD3,660,Pooled (43-44),0,453,0,0,Negative,Negative,Negative,SW319
cSW320,,,Five,5,SW,RD3,RD3,FiveSW,FiveSW_RD3,1351,Pooled(55-56),0,861.5,539.5,156,Negative,Negative,Negative,SW320
cSW321,,,Five,5,SW,RD3,RD3,FiveSW,FiveSW_RD3,1686,Pooled(57-58),0,197.5,214.5,0,Negative,Negative,Negative,SW321
cSW322,,,Five,5,SW,RD3,RD3,FiveSW,FiveSW_RD3,1249,Pooled(59-60),0,307,473.5,0,Negative,Negative,Negative,SW322
cSW323,,,Five,5,SW,RD3,RD3,FiveSW,FiveSW_RD3,1248,Pooled(61-62),0,304.5,306.5,0,Negative,Negative,Negative,SW323
cSW324,,,Five,5,SW,RD3,RD3,FiveSW,FiveSW_RD3,1368,Pooled(63-64),0,576.5,898,571.5,Negative,Negative,Negative,SW324
cSW325,,,Eight,8,SW,RD3,RD3-DR,EightSW,EightSW_RD3,3500,75,0,1151,320,0,Negative,Negative,Negative,SW325
cSW326,,,Eight,8,SW,RD3,RD3-DR,EightSW,EightSW_RD3,3000,76,0,612,767,0,Negative,Negative,Negative,SW326
cSW327,,,Eight,8,SW,RD3,RD3-DR,EightSW,EightSW_RD3,3700,77,0,1189,0,0,Negative,Negative,Negative,SW327
cSW328,,,Eight,8,SW,RD3,RD3-DR,EightSW,EightSW_RD3,2800,78,0,1020,5918,0,Negative,Negative,Negative,SW328
cSW329,,,Eight,8,SW,RD3,RD3-DR,EightSW,EightSW_RD3,3100,79,0,541,1072,0,Negative,Negative,Negative,SW329
cSW330,,,Eight,8,SW,RD3,RD3-DR,EightSW,EightSW_RD3,3300,80,0,668,823,0,Negative,Negative,Negative,SW330
cSW331,,,Eight,8,SW,RD3,RD3-DR,EightSW,EightSW_RD3,3500,81,0,559,538,954,Negative,Negative,Negative,SW331
cSW332,,,Eight,8,SW,RD3,RD3-DR,EightSW,EightSW_RD3,2700,82,0,1420,801,708,Negative,Negative,Negative,SW332
cSW333,,,Eight,8,SW,RD3,RD3-DR,EightSW,EightSW_RD3,3800,83,0,741,0,0,Negative,Negative,Negative,SW333
cSW334,,,Eight,8,SW,RD3,RD3-DR,EightSW,EightSW_RD3,3300,84,0,470,400,0,Negative,Negative,Negative,SW334
cSW335,,,Twelve,12,SW,RD3,RD3-DR,TwelveSW,TwelveSW_RD3,9200,85,0,541,14089,0,Negative,Negative,Negative,SW335
cSW336,,,Twelve,12,SW,RD3,RD3-DR,TwelveSW,TwelveSW_RD3,7400,86,0,296,10452,0,Negative,Negative,Negative,SW336
cSW337,,,Twelve,12,SW,RD3,RD3-DR,TwelveSW,TwelveSW_RD3,8800,87,0,1971,12663,0,Negative,Negative,Negative,SW337
cSW338,,,Twelve,12,SW,RD3,RD3-DR,TwelveSW,TwelveSW_RD3,8600,88,0,1344,14636,481,Negative,Negative,Negative,SW338
cSW339,,,Twelve,12,SW,RD3,RD3-DR,TwelveSW,TwelveSW_RD3,7800,89,0,347,11396,0,Negative,Negative,Negative,SW339
cSW340,,,Twelve,12,SW,RD3,RD3-DR,TwelveSW,TwelveSW_RD3,7300,90,0,759,8417,0,Negative,Negative,Negative,SW340
cSW341,,,Twelve,12,SW,RD3,RD3-DR,TwelveSW,TwelveSW_RD3,8400,91,0,2311,19444,0,Negative,Negative,Negative,SW341
cSW342,,,Twelve,12,SW,RD3,RD3-DR,TwelveSW,TwelveSW_RD3,8500,92,0,290,9335,0,Negative,Negative,Negative,SW342
cSW343,,,Sixteen,16,SW,RD3,RD3-DR,SixteenSW,SixteenSW_RD3,14200,105,0,673,12586,0,Negative,Negative,Negative,SW343
cSW344,,,Sixteen,16,SW,RD3,RD3-DR,SixteenSW,SixteenSW_RD3,13600,106,0,3326,16106,0,Negative,Negative,Negative,SW344
cSW345,,,Sixteen,16,SW,RD3,RD3-DR,SixteenSW,SixteenSW_RD3,13400,107,0,203,10317,0,Negative,Negative,Negative,SW345
cSW346,,,Sixteen,16,SW,RD3,RD3-DR,SixteenSW,SixteenSW_RD3,13600,108,0,999,16303,0,Negative,Negative,Negative,SW346
cSW347,,,One,1,SW,RD2 ,RD2 ,OneSW,OneSW_RD2,154,Pooled(13-17),4173.8,552.6,2128.8,2348.8,Negative,Negative,Negative,SW347
cSW348,,,One,1,SW,RD2 ,RD2 ,OneSW,OneSW_RD2,133,Pooled(18-21),2818.75,601,3022.5,4579.75,Negative,Negative,Negative,SW348
cSW349,,,Three,3,SW,RD2 ,RD2 ,ThreeSW,ThreeSW_RD2,797,Pooled(25&28),0,197,210.5,183,Negative,Negative,Negative,SW349
cSW350,,,Three,3,SW,RD2 ,RD2 ,ThreeSW,ThreeSW_RD2,658,Pooled(26-27),1197,141.5,781.5,0,Negative,Negative,Negative,SW350
cSW351,,,Three,3,SW,RD2 ,RD2 ,ThreeSW,ThreeSW_RD2,651,Pooled(29-30),0,435,707,665,Negative,Negative,Negative,SW351
cSW352,,,Three,3,SW,RD2 ,RD2 ,ThreeSW,ThreeSW_RD2,610,Pooled(31-32),0,287.5,326.5,550,Negative,Negative,Negative,SW352
cSW353,,,Three,3,SW,RD2 ,RD2 ,ThreeSW,ThreeSW_RD2,763,Pooled(33-34),0,181,228.5,156,Negative,Negative,Negative,SW353
cSW354,,,Five,5,SW,RD2 ,RD2 ,FiveSW,FiveSW_RD2,1461,Pooled(45-46),0,116,171,0,Negative,Negative,Negative,SW354
cSW355,,,Five,5,SW,RD2 ,RD2 ,FiveSW,FiveSW_RD2,1712,Pooled(47-48),0,551.5,420,0,Negative,Negative,Negative,SW355
cSW356,,,Five,5,SW,RD2 ,RD2 ,FiveSW,FiveSW_RD2,1548,Pooled(49-50),0,313,103,0,Negative,Negative,Negative,SW356
cSW357,,,Five,5,SW,RD2 ,RD2 ,FiveSW,FiveSW_RD2,1553,Pooled(51-52),0,418.5,322,0,Negative,Negative,Negative,SW357
cSW358,,,Five,5,SW,RD2 ,RD2 ,FiveSW,FiveSW_RD2,1564,Pooled(53-54),0,808.5,426.5,2237,Negative,Negative,Negative,SW358
cSW359,,,Eight,8,SW,RD2 ,RD2-JF,EightSW,EightSW_RD2,3600,65,0,296,519,576,Negative,Negative,Negative,SW359
cSW360,,,Eight,8,SW,RD2 ,RD2-JF,EightSW,EightSW_RD2,3800,66,0,612,708,371,Negative,Negative,Negative,SW360
cSW361,,,Eight,8,SW,RD2 ,RD2-JF,EightSW,EightSW_RD2,3400,67,0,364,215,341,Negative,Negative,Negative,SW361
cSW362,,,Eight,8,SW,RD2 ,RD2-JF,EightSW,EightSW_RD2,4100,68,0,180,0,0,Negative,Negative,Negative,SW362
cSW363,,,Eight,8,SW,RD2 ,RD2-JF,EightSW,EightSW_RD2,3400,69,0,1420,176,0,Negative,Negative,Negative,SW363
cSW364,,,Eight,8,SW,RD2 ,RD2-JF,EightSW,EightSW_RD2,3600,70,0,541,226,0,Negative,Negative,Negative,SW364
cSW365,,,Eight,8,SW,RD2 ,RD2-JF,EightSW,EightSW_RD2,3400,71,0,347,314,0,Negative,Negative,Negative,SW365
cSW366,,,Eight,8,SW,RD2 ,RD2-JF,EightSW,EightSW_RD2,4200,72,0,401,0,0,Negative,Negative,Negative,SW366
cSW367,,,Eight,8,SW,RD2 ,RD2-JF,EightSW,EightSW_RD2,3300,73,0,796,639,0,Negative,Negative,Negative,SW367
cSW368,,,Eight,8,SW,RD2 ,RD2-JF,EightSW,EightSW_RD2,3300,74,0,1189,2494,0,Negative,Negative,Negative,SW368
cSW369,,,Twelve,12,SW,RD2 ,RD2-JF,TwelveSW,TwelveSW_RD2,10300,93,0,1234,17792,0,Negative,Negative,Negative,SW369
cSW370,,,Twelve,12,SW,RD2 ,RD2-JF,TwelveSW,TwelveSW_RD2,10000,94,0,203,8736,0,Negative,Negative,Negative,SW370
cSW371,,,Twelve,12,SW,RD2 ,RD2-JF,TwelveSW,TwelveSW_RD2,9300,95,0,1473,11288,0,Negative,Negative,Negative,SW371
cSW372,,,Twelve,12,SW,RD2 ,RD2-JF,TwelveSW,TwelveSW_RD2,10000,96,0,1076,12106,0,Negative,Negative,Negative,SW372
cSW373,,,Twelve,12,SW,RD2 ,RD2-JF,TwelveSW,TwelveSW_RD2,8500,97,0,711,3598,0,Negative,Negative,Negative,SW373
cSW374,,,Twelve,12,SW,RD2 ,RD2-JF,TwelveSW,TwelveSW_RD2,9000,98,0,844,9160,0,Negative,Negative,Negative,SW374
cSW375,,,Twelve,12,SW,RD2 ,RD2-JF,TwelveSW,TwelveSW_RD2,9100,99,0,523,14295,0,Negative,Negative,Negative,SW375
cSW376,,,Twelve,12,SW,RD2 ,RD2-JF,TwelveSW,TwelveSW_RD2,8300,100,0,1076,14993,0,Negative,Negative,Negative,SW376
cSW377,,,Sixteen,16,SW,RD2 ,RD2-JF,SixteenSW,SixteenSW_RD2,17400,101,0,1432,13202,0,Negative,Negative,Negative,SW377
cSW378,,,Sixteen,16,SW,RD2 ,RD2-JF,SixteenSW,SixteenSW_RD2,16600,102,0,6198,14250,0,Negative,Negative,Negative,SW378
cSW379,,,Sixteen,16,SW,RD2 ,RD2-JF,SixteenSW,SixteenSW_RD2,17600,103,0,273,10499,0,Negative,Negative,Negative,SW379
cSW380,,,Sixteen,16,SW,RD2 ,RD2-JF,SixteenSW,SixteenSW_RD2,15000,104,0,1234,4381,0,Negative,Negative,Negative,SW380
